scientific_name,description,plant_care
hemigraphis alternata,"The Purple Waffle plant, Hemigraphis alternata, is a easy care plant that is perfect for beginners. It gets its name because of the”puckered” appearance of its shiny, dark-green leaves that have a purple underside. The compact plant grows only about 6”-8” tall but can produce stems 12” to 24” long.
The Purple Waffle plant originated in the jungles of Java.
It is non-toxic

Source:
https://www.houseplant411.com/houseplant/purple-waffle-plant-how-to-grow-care-guide
","Light: Medium to bright, indirect light. No direct sun.
Water: Keep soil barely moist, but not soggy. Water less in winter.
Fertilizer: Late-March-September: Feed monthly with a high phosphate plant food diluted to 1/2 strength. Make sure the soil is moist when feeding.
Temperature: 55°-75°F, 12.8°–23.9°C
Humidity: Prefers high humidity. If the air is dry, set the plant on a wet pebble tray, making sure the plant is not sitting in the water.
Soil: Use a quick-draining, rich, organic soil full of peat moss.
Pot: When the roots have filled the current pot, re-pot to the next slightly larger size pot.
Pruning: Pinch the stem tips.
Propagation: Propagate during spring and summer by 4""-6"" long stem tip cuttings, cut just below a node in the stem.
Poisonous Plant Info: Non-toxic

Source:
https://www.houseplant411.com/houseplant/purple-waffle-plant-how-to-grow-care-guide"
phoenix roebelenii,"The Dwarf Pygmy Date palm, Phoenix roebelenii, does well in indirect light and grows very slowly, reaching a maximum indoors height of 5'-5'. The plant produces graceful, arching fronds that are about 3' long, from a central trunk. Like other palms, the Dwarf Pygmy Date palm is an excellent clean air plant.
The plant originated underneath the canopy of dense tropical forests in Africa and Asia. 
It is on-toxic.

Source:
https://www.houseplant411.com/houseplant/pygmy-date-palm-how-to-grow-care-guide","Light: Bright, indirect light. Can survive in medium light, without over-watering.
Water: Keep soil moist, but never soggy. In winter, allow the soil to dry out, then water.
Fertilizer: Feed once in spring and summer with a time-released fertilizer such as Rose fertilizer.
Temperature: 50°-75°F, 16°-24°C
Humidity: Moderate to high humidity.
Soil: Use a basic, well-draining indoor potting soil.
Pot: Repot immature plants every few years in the Spring. Mature plants have very delicate roots that don't like to be disturbed. Keep in the same container and replace the top few inches of soil each year.
Pruning: Remove old fronds. Wear gloves due to the sharp spines at the base of the leaflets.
Propagation: Propagate using the suckers that develop at the plant's base.
Poisonous Plant Info: Non-toxic

Source:
https://www.houseplant411.com/houseplant/pygmy-date-palm-how-to-grow-care-guide"
billbergia nutans,"
Queens Tears, Billbergia Nutans, are popular for their brilliant flower colors. The plant is easy to split and share, which has earned it the nickname ""Friendship plant"". 
The Queens Tears are among the most common to find of the bromeliad family; it is native of Brazil, Uruguay and Argentina grows well in many American homes.
The plant has an average lifespan of three years.
It is non-toxic.

Source: 
https://www.houseplantsexpert.com/queens-tears-plant.html","Light: Summer: partial shade. Fall-Spring: bright, indirect light.
Water: Summer: water the leaves, flowers, and roots daily, keeping soil moist, but not soggy. Fall-Spring: mist the plant every few days and water just enough to keep the soil just shy of dry.
Fertilizer: Summer: feed every other week with a balanced fertilizer. Flower cups can be filled with liquid fertilizer. Fall-Spring, feed once a month.
Temperature: Summer: 65º-80ºF, 18º-27ºC. Fall-Spring: 60º-75ºF, 16º-24ºC temperature. Coldest Winter: can withstand up to 40ºF, 4ºC, for occasional periods.
Humidity: Summer: high humidity. Mist the leaves and flowers daily.
Soil: Use orchid or bromeliad mixture or one part gardening soil and two parts perlite or tree bark.
Pot: Re-pot before flowering, using a larger pot each time until the pot is 5"" across.
Pruning: Remove yellow or dying leaves.
Propagation: After flowering, new shoots can be broken-off from the main plant and uprooted, then transferred to their own pot.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplantsexpert.com/queens-tears-plant.html"
davillia fejeensis,"The Rabbit’s Foot fern, Davillia fejeensis, is a unique looking, low maintenance, compact plant. It has lacy, leathery, medium-green, arching fronds with a bluish tinge.  As the plant matures, it develops furry, rhizomes (fleshy roots) that grow on the surface, covered in brown hairs that make them look like the feet of a rabbit.
The plant originates from Southeast Asia and Fiji.
It is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/rabbits-foot-fern-how-to-grow-care-guide","Light: Medium light by a north- or east-facing window. Avoid south- and west- facing windows. No direct sun.
Water: Likes to be a little drier than most other indoor ferns. Allow the top 25% of the soil to dry out, then water.
Fertilizer: Spring-Fall: feed every 2 weeks with a balanced plant food diluted to 1/2 strength, only when it is actively growing.
Temperature: 65°-75°F, 18.3°- 23.9°C during the day and 10°F cooler at night.
Humidity: Can adjust to low humidity. Prefers 40-50% humidity.
Soil: Use 1 part peat-moss and 1 part chopped bark. 
Pot: Re-pot every few years when the roots have filled the current pot.
Pruning: Pruning is rarely necessary. Removy any brown fronds as soon as they appear.
Propagation: Propagate with plant division, dividing the rhizomes, ensuring that there is a piece of stem attached to each rhizome.
Poisonous Plant Info: non-toxic

Source: 
https://www.houseplant411.com/houseplant/rabbits-foot-fern-how-to-grow-care-guide"
calathea lancifolia,"The Rattlesnake Plant, Calathea Lancifolia, is a popular, easy to care for houseplant for growers wanting tropical themed foliage. The waxy, green leaves sport dark green circles and striking purple undersides. 
As the plant is native to Brazil, it thrives in warm and moist areas.
It is non-toxic.

Source:
https://www.houseplantsexpert.com/rattlesnake-plant.html","Light: Bright, indirect light. 
Water: May-August: During the growing season, water frequently, always keeping the soil most, but not soggy. During the winter, only water when the top soil becomes dry to the touch.
Fertilizer: Use a balanced liquid fertilizer, feed once a month from April-August.
Temperature: 65º-75ºF, 18º-24ºC and no lower than 60ºF, 15ºC.
Humidity: Loves high humidity. Place on a pebble tray with water, making sure that the plant does not sit in the water.
Soil: Use well-draining soil that retains water such as 2 parts peat and 1 part perlite.
Pot: Re-pot after outgrowing the current pot by transferring to a wider pot. If there is no wider pot, divide the plant and re-pot.
Pruning: Remove damaged and dead leaves.
Propagation: Propagate with plant division.
Poisonous Plant Info:

Source:
https://www.houseplantsexpert.com/rattlesnake-plant.html"
rhapis excelsa,"The elegant, slow-growing Lady Palm is a durable, easy care plant that adapts to almost all conditions. It has large, shiny, dark-green fronds with blunt tips. These fronds grow out of multiple sturdy stems covered in a hairy brown fiber.
Potted in 6""-8"" containers, the compact upright palm is a great desk plant. In 10"" and larger containers, the Lady Palm can grow up to 14' tall.
The plant is non-toxic.

Source:
https://www.houseplant411.com/houseplant/rhapis-palm-how-to-grow-care-guide","Light: Bright, indirect light. Can adapt to low light. 
Water: Allow the top 50% of the soil to dry out, then water.
Fertilizer: Needs very little fertilizer. Feed every other month when actively growing with balanced plant food diluted to 1/4 strength.
Temperature: 50°-80° F, 10°-26.7°C.
Humidity: Adjusts to both dry and humid environments
Soil: Use a quick-draining, dense soil and add additional humus, if needed. African Violet soil works well.
Pot: Likes to be root-bound in small pots. When re-potting, cover all the roots and bases of the canes.
Pruning: Remove dark brown or withered leaves.
Propagation: Propagate by plant division.
Poisonous Plant Info: Non-toxic

Source:
https://www.houseplant411.com/houseplant/rhapis-palm-how-to-grow-care-guide"
rosa chinensis minima,"The Miniature Rose Bush plant are hybrids that are difficult to keep indoors permanently. To prolong its life, plant the miniature rose bush plant outdoors in the fresh air and bright light. 
The plant produces small 1”-2” flowers in red, yellow, pink, white, peach, and orange. 
The plant has its origins in China.
It is non-toxic.

Source:
https://www.houseplant411.com/houseplant/miniature-rose-bush-plant-how-to-grow-plant-care-tips","Light: Very bright light with several hours of direct sun.
Water: Requires a great deal of water, especailly while flowering. Check the soil every few days. Allow the top 1"" of soil to dry out, then water. During winter, keep the soil barely most. Do not get water on the leaves as this can lead to fungus growth.
Fertilizer: Spring-Summer: feed every two weeks with a high phosphorous fertilizer at 1/2 strength
Temperature: 60°-75°F, 16°-24°C.
Humidity: Moderate to high humidity. If the air is dry, place in a pebble tray with water, taking care that the plant does not sit in the water.
Soil: Use moist potting soil.
Pot: Keep in small pots to avoid root rot and stunted growth.
Pruning: Remove dead branches and branches that rub against each other. After the plant has finished blooming in the fall, prune the bush to encourage new growth the next season.
Propagation: Propagate by stem tip cuttings in early summer.
Poisonous Plant Info: non-toxic

Source:
https://www.houseplant411.com/houseplant/miniature-rose-bush-plant-how-to-grow-plant-care-tips"
calathea roseopicta,"The Rose Painted Calathea is an undemanding plant that is primarily kept for it's tropical looking patterned leaves, with purplish colored undersides.
Just like other species from the Calathea genus, they're easy to care for.
The Rose Painted Calathea originates from  Brazil.
It is non-toxic.

Source: 
https://www.houseplantsexpert.com/rose-painted-calathea.html","Light: Bright, indirect sunlight. No direct sun. Place at a north-, east-, or west-facing windows.
Water: Keep soil moist at all times.
Fertilizer: Use a balanced, diluted solution every 2 weeks, April-early October.
Temperature: 65º-75ºF, 18º-24ºC are suitable, and no lower than 60ºF, 15ºC
Humidity: Likes high humidity. Mist daily and place the plant pot on a pebble tray with water, making sure the plant doesn't sit in the water.
Soil: Use a peat-based potting mix: 2 parts peat and 1 part perlite.
Pot: Re-pot during spring every two years. Re-pot to only a slightly larger pot once the roots have filled the current pot.
Pruning: Prune dead leaves.
Propagation: Propagate by plant division in mature plants. Do not over-water the divided plants.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplantsexpert.com/rose-painted-calathea.html"
cycas revoluta palm,"The elegant, slow-growing Sago Palm, Cycad, is not really a palm, but a type of gymnosperm and relatives of conifers and gingko trees. Cycads are often called “living fossils,” are one of the oldest most primitive plant families and have not changed very much in the last 200 million years. 
The plant has a very rugged trunk 1”- 12” in width, depending upon the age of the plant. The trunk is topped with stiff, somewhat narrow, long, arching fronds that grow in a circular or rosette pattern. Care should be taken to avoid being stuck by the sharp tips of the fronds.
All parts of the Sago Palm are very poisonous and toxic to cats, dogs, and humans. It should be kept away from pets and children. 

Source:
https://www.houseplant411.com/houseplant/sago-palm-how-to-grow-care-guide



","Light: Bright light with a little direct sun in the morning only. Direct afternoon sun burns the leaves. Give 1/4 turn every week to keep from growing toward the light.
Water: The plant is drought resistant. Allow the top 75% of the soil to dry out, then water the plant thoroughly, making sure the water comes out the drip holes in the bottom of the pot. Do not allow the plant to sit in excess water. In winter, water sparingly. Do not allow water to get in the crown of the Sago palm as this can cause rot disease and eventual death.
Fertilizer: Spring-Fall: feed monthly with a liquid fertilizer diluted to 1/2 strength.
Temperature: 60°-75° F, 16°-24° C)
Humidity: Likes high humidity. Place a humidifier near the plant if the air is dry.
Soil: Use loose, quick-draining soil such as a cactus or succulent soil.
Pot: Only repot when the plant has outgrown the existing pot, as the roots do not like to be disturbed.
Pruning: Remove dead or damaged fronds that have turned completely brown. Cut from the very bottom of the plant.
Propagation: Propagate through plant division. 
Poisonous Plant Info: All parts are very poisonous, especially the seeds. Keep out of reach of children and pets.

Source:
https://www.houseplant411.com/houseplant/sago-palm-how-to-grow-care-guide"
guzmania lingulata,"The Scarlet Star is a popular bromeliad species grown for it's green leathery foliage and bright red or orange bract. It takes 3-4 years to mature to the blooming stage. They produce a single cup-like bloom once in their life time.
These plants can be potted or can survive attached to a host plant without causing the host plant harm. 
Guzmania lingulata is a native of Middle and South America.
The Scarlet Star is poisonous. Keep away from small children and pets.

Source: 
https://www.houseplantsexpert.com/bromeliad-scarlet-star.html","Light: Bright, indirect light. No direct sunlight as it can cause the leaves to burn and damage the flowers.
Water: Mist roots on a daily basis. Allow soil to dry completely, then water to the point of wet, but never soggy. Do not allow water to sit in the plant tray. Keep the cup of the flower filled with 1""-2"" of water at all times, refreshing the water every four days. Use distilled or rain-sourced water; the chemicals in processed water will kill the plant.
Fertilizer: When blooming, once a month, feed the plant a balanced fertilizer mix diluted to 1/2 strength, delivered directly to the flower cup. Pour out the fertilizer after 4-5 days and replace with regular water.
Temperature: 65°-80°F, 18°-27°C
Humidity: High humidity. If your home has average humidity, spray the leaves and flower cup with a light dose of water, every day.
Soil: Use one part soil to one part pumice or bark. Drainage must be good throughout all the stages of the plant's life. 
Pot: Re-pot every spring to the next larger size until the plant resides in a 6"" or 8"" pot. Once the plant has matured, there is no need to re-pot.
Pruning: Remove yellow or dying leaves.
Propagation: Break off small shoots from near the base once of the plant once they have reached three"" height. Propagate in separate containers.
Poisonous Plant Info: Poisonous. Keep away from small children and pets.

Source: 
https://www.houseplantsexpert.com/bromeliad-scarlet-star.html"
paphiopedilum,"Known as ""Slipper Orchids"" due to the appearance of their pouch (the center section of flower) resembling a slipper, The Paphiopedilum are easy to grow orchids that grow in a range of different colors.
The Paphiopedilum orginiates from Asia and Southeast Asia in countries such as India and the Philippines. There are more than 80 different species and many hybrids.
They are non-toxic.

Source: 
https://www.houseplantsexpert.com/paphiopedlium-slipper-orchid.html","Light: Diminished light; no direct sunlight. Place at a east- or west-facing window, or south-facing window that without direct sunlight.
Water: Every 3-7 days. Water in the morning to allow the water to evaporate from the foliage throughout the day, preventing fungus and rot.
Fertilizer: Give a 1/4 strength balanced fertilizer.
Temperature: 70º-80ºF, 21º-26.5ºC during the day and around 55º-65ºF, 12.5º-18ºC during the night
Humidity: Dislikes dry air. To improve humidity, place the plant on a pebble tray with water; do not let the plant sit in the water.
Soil: Use a medium grade orchid bark mix.
Pot: Re-pot in the spring or early summer or autumn when the temperatures are warmer. When re-potting, pot the oldest growth close to the rim of the pot to allow for another two years of growth. Plants with a large number of growths can be divided.
Pruning: After the bloom fades and the stem turns brown, prune at the base of the stem.
Propagation: Propagate by planting offshoots that have a solid root system.
Poisonous Plant Info: Non-toxic.

Source: 
https://www.houseplantsexpert.com/paphiopedlium-slipper-orchid.html"
sansevieria trifasciata,"The Sansevieria is a hardy, almost impossible to kill houseplant that is good for beginners. It is also known as a ""clean air"" plant and helps rid the air of pollutants.
The plant can grow in light ranging from shade to bright light, is not harmed by low humidity or cold drafts, rarely needs repotting, and is drought resistant.
It is also known by the common names: Snake plant,Mother-in-law's Tongue, Bowstring Hemp, and Devil's Tongue.
The Sansevieria originates from Africa and Southern Asia. 
It is mildly toxic and should be kept away from small children and pets.

Source: 
https://www.houseplant411.com/houseplant/sansevieria-plant-how-to-grow-care-guide","Light: Fares well in all light. The better the light, the faster the plant grows.
Water: Do not over-water; over-watering is the main reason a Sansevieria plant dies. Allow the soil to practically dry out, then water. During winter, water only once every month or two.
Fertilizer: When actively growing, fertilize monthly with cactus plant food diluted to 1/2 strength. Never use fertilizer containing nitrates.
Temperature: 60°-85° F, 15.5°-29°C
Humidity: Low-average household humidity.
Soil: Use rich, organic soil that drains quickly. Add some builders sand if the soil isn't draining well and appears heavy and clay-like.
Pot: Keep root-bound in a small pot with drain holes.
Pruning: Using a sharp, sterile knife, remove too-tall or damaged leaves.
Propagation: Propagate by plant division, leaf cuttings, and offsets growing at the base of the plant.
Poisonous Plant Info: Mildly poisonous. Keep away from small children and pets.

Source: 
https://www.houseplant411.com/houseplant/sansevieria-plant-how-to-grow-care-guide"
schefflera actinophylla,"The Schefflera plant is often called the Umbrella tree due to its large, shiny, dark green leaves that drape down like an umbrella. The plant usually has multiple trunks and long stems with the leaf and several smaller leaflets growing at the ends of the stems.
Both over- and under-watering result in leaf loss. Yellow leaves fall off from under-watering while green leaves fall off from over-watering.
The plant is native to Australia, New Zealand, and the Pacific Islands.
It is slightly poisonous and should be kept away from children and pets.

Source:
https://www.houseplant411.com/houseplant/schefflera-plant-how-to-grow-care-guide","Light: Medium to bright, indirect light.
Water: Allow the top 25-30% of the soil to dry out, then water.
Fertilizer: Spring-Summer: Feed monthly while in the active growing period with balanced plant food diluted to 1/2 strength. Fall-Winter: Feed every other month when producing new leaves.
Temperature: 65°-80°F, 18.3°-26.7°C
Humidity: Average to high household humidity. For low humidity, place the plant on a pebble tray with water; make sure the plant is sitting on the pebbles and do not let the plant sit in the water.
Soil: Use a well-aerated, fast-draining, indoor potting soil.
Pot: Can be found in pots from 4""-14"" diameter.
Pruning: Aggresively prune the plant when it loses its bottom leaves or becomes leggy. Make the cuts a little above a plant node.
Propagation: Propagate by stem tip cuttings.
Poisonous Plant Info: Slightly poisonous

Source:
https://www.houseplant411.com/houseplant/schefflera-plant-how-to-grow-care-guide"
lycopodioides,"Often refereed to as Spike Moss or Arborvitae Ferns, there are 700 varieties of the Selaginella plant, ranging in size and in the manner in which they grow.
Most Selaginella types are found growing in tropical America, Asia, China, Japan, North America, Mexico, South Africa, and Australia.
Depending on the variety, a Selaginella may be a creeping, climbing, or trailing plant.
They are non-toxic.

Source:
https://www.houseplant411.com/houseplant/page/13","Light: Bright, indirect light. No direct sun.
Water: Avoid using cold water. Keep the soil moist and never soggy.
Fertilizer: Feed twice a year, in April and in July, with a water soluble fertilizer diluted to 1/2 strength. Do not fertlize newly pottle plants for at least two months.
Temperature: 50°-75°F, 10°-24°C
Humidity: Likes high humidity.
Soil: Use a peat moss based, well-draining soil that retains water.
Pot: Re-pot in spring when it outgrows its pot.
Pruning: Pinch back the tips of the stems if they grow too tall or leggy. Remove dead or damaged stems as soon as they appear.
Propagation: Propagated by spores, stem cuttings, or plant division.
Poisonous Plant Info: non-toxic

Source:
https://www.houseplant411.com/houseplant/page/13"
oxalis,"The Shamrock plant, Oxalis, native to Brazil, are so named because their three triangular leaflets look like a lucky clover. Oxalis regnelli, the green-leafed Shamrock plant, produces small, delicate white flowers when placed in bright, indirect light. Oxalis triangularis, or False Shamrock, has dark purple leaves and pink-lavender flowers when placed in bright, bright indirect light. The Oxalis' leaves open during the day and close at night.
These plants are slightly poisonous if eaten in very large quantities and should be kept away from small children and pets.

Sources: 
https://www.houseplant411.com/houseplant/shamrock-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/false-shamrock-plant.html","Light: Bright, indirect light. No direct sun.
Water: Allow the top 2"" of soil to dry out, then water. Keep the soil barely moist and never soggy. Best to water from the bottom to avoid getting water on the thin, fragile stems.
Fertilizer: Spring-Summer: Feed monthly while actively growing with a balanced fertilizer diluted to 1/2 strength. Never feed while in the dormant and resting period.
Temperature: 60°-70°F, 15.6°-21.1°C during the day; 55°-65°F 12.8°-18.3°C at night
Humidity: Average household humidity.
Soil: Use a loose and sandy soil rather than rich and organic soil.
Pot: Keep in small pots to prevent over-watering. Re-pot every 1-2 years, after outgrowing the current pot.
Pruning: Cut leggy stems and place in very bright, indirect sun. Leggy stems indicate too little light.
Propagation: Propagate right after the dormant phase, in the early spring, by bulb division.
Poisonous Plant Info: Slightly poisonous if eaten in very large quantities.

Sources: 
https://www.houseplant411.com/houseplant/shamrock-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/false-shamrock-plant.html"
chlorophytum comosum,"The Spider plant grows well both outdoors in warm climates, and indoors with very little care. 
It is a member of the asparagus family, the same as the popular asparagus fern. It is so named because the small plantlets that grow on the long, hanging stems, resemble a green and white spider. The Spider plant produces grassy-looking, narrow leaves about 8""-10"" long and less than 1"" wide, from the center of the plant. It sends out long runners that produce small, star-shaped, delicate white flowers. After the flowers die, plantlets develop and can be used for propagation.The plant can also be propagated by plant division, by dividing the tuberous plant roots.
The Spider plant was first found growing in the subtropics of Africa, Asia, and Australia.
It is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/spider-plant-how-to-grow-care-guide","Light: Bright, indirect light but no direct sun
Water: Do not over-water. Water less in winter and during the resting period.
Fertilizer: Feed monthly with balanced plant food diluted to 1/2 strength, only when actively growing.
Temperature: 65°- 75°F, 18°-23° C.
Humidity: Prefer high humidity, but still grow well in average humidity.
Soil: Use rich, organic plant soil such as the African Violet mix.
Pot: Wait until the roots have filled the pot before re-potting
Pruning: Cut off excess runners and brown leaf tips.
Propagation: Use plant offsets growing at the ends of the long runners.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/spider-plant-how-to-grow-care-guide"
philodendron bipinnatifidum,"The tropical Split Leaf philodendron plant is an easy to care for houseplant. It has big, glossy, leathery, heart-shaped leaves that split from the leaf edge to the center vein, called ""cuts"", as the plant matures. When the Split Leaf philodendron is young, it has strong upright stems, but as the plant matures and the leaves get bigger and heavier, the stems droop until they are almost horizontal to the ground. The plant grows rapidly indoors, especially in high humidity, with leaves as large as 3' long and 2' wide, eventually growing about twice as wide as it is tall, taking up quite a bit of space. 
The plant takes 15-20 years to produce flowers. 
It is often mistaken for a Monstera deliciosa plant or Swiss cheese plant, which are both plants are in the same large Araceae family, have the same care requirements, and grow in a similar manner.
The Split Leaf philodendron is very poisonous: the leaves, stems, and roots of a Split Leaf philodendron contain oxalic acid. Keep out of reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/split-leaf-philodendron-how-to-grow-care-guide","Light: Medium to bright light. No direct sun. Can survive in lower light, but the leaves won't split and the plant gets leggy. 
Water: Allow the top 25-30% of the soil to dry out, then water well until the water drains out the drip holes.
Fertilizer: When actively growing, feed every two weeks with balanced plant food diluted to 1/2 strength.
Temperature: Prefers warm temperatures and doesn't do well below 50°F, 10°C. 
Humidity: Prefers high humidity, but can adapt to normal household humidity.
Soil: Use a rich, quick-draining peat moss-based soil.
Pot: Prefers a large pot, which promotes larger leaves.
Pruning: Clean leaves regularly. Aggressively trim.
Propagation: Propagate using stem cuttings, including a few leaves and plant nodes on each cutting. Allow the cutting to sit out overnight before planting to help prevent root rot.
Poisonous Plant Info: Very poisonous. Keep out of reach of small children and pets.

Source: 
https://www.houseplant411.com/houseplant/split-leaf-philodendron-how-to-grow-care-guide"
platycerium,"The Staghorn Fern is a unique looking plant with large, thick outer leaves that resemble antlers growing out of the center of the plant. The leaves are covered in hairs, making a hairy texture and giving a silver or gray look. There is a shield frond at the bottom of the staghorn fern that is brown and cup-shaped that, in nature, captures the nutrients that the plant needs and helps the plant cling to the sides of the container in which it is planted. The Staghorn Fern is often mounted on a hard surface, like a decorative board, and hung on the wall.
The plant is native to the rain forests of Queensland Australia, found growing on rocks and the sides of trees.
It is non-toxic.

Source:
https://www.houseplant411.com/houseplant/staghorn-fern-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun.
Water: Tempermental to precise watering: check the center of a Staghorn Fern for moisture. When the top 50% of the soil at the center is dry, submerge the entire plant, including container, in a sink of lukewarm water for 10-20 minutes. If not using the soaking method, thoroughly mist all parts of the plant with a fine spray. Keep the soil dryer during the winter.
Fertilizer: Spring-Summer: Feed monthly with a balanced fertilizer diluted to 1/2 strength.
Temperature: 65°-80°F,18.3°-26.7°C
Humidity: Requires plenty of humidity. Place a humidifier next to the plant if the air is too dry.
Soil: Orchid bark mixed with potting soil.
Pot: Clay pots with soil or wire baskets with sphagnum moss. Can mount to a wooden plank and hang on the wall.
Pruning: Requires little to no pruning.
Propagation: Propagate with the plantlets or offsets at the base of the plant.
Poisonous Plant Info: non-toxic.

Source:
https://www.houseplant411.com/houseplant/staghorn-fern-how-to-grow-care-guide"
saxifraga stolonifera,"The Strawberry Begonia plant, or Strawberry Geranium, is an evergreen native to Asia and is neither a begonia nor a geranium, but rather a member of the Saxifrage family. 
It have bluish-green, fuzzy leaves like a Begonia and it also spreads by sending out “runners” like a strawberry plant. It produces lovely, white flowers with pointed petals and bright, yellow centers.
The Strawberry Begonia is non-toxic, unlike ""real"" Begonias (all of which are poisonous).

Source:
https://www.houseplant411.com/houseplant/strawberry-begonia-plant-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun as it can burn holes in the leaves. 
Water: Allow the top 2""-3"" of soil to dry out, then water from the bottom so that the water does not collects on the hairs of the leaves. Water until the water comes out the drip holes. Needs less water in the fall and winter during the resting period.
Fertilizer: Spring and Summer: feed monthly while actively growing with balanced indoor plant food at 1/2 strength. Do not fertilize in fall and winter.
Temperature: 40°-65°F, 4.4°-18.3°C
Humidity: Moderate-High humidity.
Soil: Use a well-aerated, quick-draining soil that retains moisture.
Pot: The plant rarely gets taller than 12"". Use a pot that is wider than deeper so that some of the baby plants at the end of the runners can plant and grown near the mother. Keep a little root-bound to prevent overwatering.
Pruning: Remove yellow, dead, or damaged leaves as soon as they appear.
Propagation: Propagate by planting the baby plantlets that grow at the end of the runners.
Poisonous Plant Info: non-toxic, unlike ""real"" Begonias (all of which are poisonous).

Source:
https://www.houseplant411.com/houseplant/strawberry-begonia-plant-how-to-grow-care-guide"
stromanthe sanguinea,"The Tricolor Stromanthe plant is a challenging houseplant and not for beginner growers. It has beautiful leaves in different shades of white, red, pink, and green that fold up at night. The plant flowers in the spring, producing reddish-pink blooms. The Stromanthe can be grown indoors or outdoors, but will not survive a hard freeze.
It is native to the rain forests of Brazil.
The plant is not known to be toxic. It is advised to err on the side of caution and keep away from small children and pets.

Source: 
https://www.houseplant411.com/houseplant/stromanthe-plant-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun. Place at a north- or east-facing window.
Water: Keep barely moist at all times. Do not over-water, to avoid root rot and death. Allow the soil to dry out a little more during winter months, but do not dry out completely.
Fertilizer: During active growth, usually early spring to the end of fall, feed monthly with a balanced fertilizer diluted to 1/2 strength.
Temperature: Average household temperature.
Humidity: Requires high humidity to keep the leaves looking good. If the air is dry, place on a wet pebble tray, making sure the plant does not sit in the water. Leaves turn brown and crisp when the air is too dry.
Soil: Use a peat-based potting soil.
Pot: Make sure the Stromanthe outgrows the current pot before moving to the next larger size and nothing larger. Use a pot with drip holes.
Pruning: Remove damaged leaves where they are attached to the stem.
Propagation: Propagate by plant division: carefully separate a rhizome with 2-3 leaves attached, from the main root ball. Plant in a small pot of moist potting soil. Propogate in the spring before a growth spurt.
Poisonous Plant Info: Little is known. Err on the side of caution and keep away from small children and pets.

Source: 
https://www.houseplant411.com/houseplant/stromanthe-plant-how-to-grow-care-guide"
plectranthus australis,"The Swedish Ivy plant is an easy to care for, fast-growing, succulent-like, trailing vine with long, cascading stems, and thick, shiny, bright green, scalloped leaves. With enough bright light, the plant produces delicate white or purple tubular flowers. It is a great houseplant for beginners.
The plant is non-toxic.

Source:
https://www.houseplant411.com/houseplant/swedish-ivy-plant-how-to-grow-care-guide","Light: Bright, indirect light. No direct Sun. 
Water: Allow the top 30% of soil to dry out before watering. Do not over-water, causing root rot. Yellow leaves indicate over-watering. Soft, dull green leaves indicate that the plant needs water.
Fertilizer: Feed every two weeks in the spring and summer when actively producing new leaves. Use high-nitrogen plant food, diluted to 1/2 strength.
Temperature: Spring-Fall: 70°-75°F, 21.3°-23.9°C ; Winter: 60°-65°F, 15.6°-18.3°C
Humidity: Prefers high humidity; still grows well in average household humidity (40%)
Soil: Use organic, peat-based, well-draining soil.
Pot: Wait until the roots have filled its current pot, then re-pot.
Pruning: Constantly prune: trim several inches off long vines to encourage new growth.
Propagation: Propagate using plant clippings.
Poisonous Plant Info: non-toxic

Source:
https://www.houseplant411.com/houseplant/swedish-ivy-plant-how-to-grow-care-guide"
tradescantia,"The Wandering Jew plant is an easy to care for houseplant that is fast growing. Most varieties have long vines of 2'-4' oval or heart-shaped leaves. Leaves can be solid green in color or with purple, white, yellow stripes, or splashes of pink, purple, or cream. The undersides of leaves may also be purple. Some varieties have leaves with a silver shine and some have hairy leaves. The plant produces small flowers.
Originating from Canada down to Argentina as a 1-2 foot tall wildflower, the plant is now popular worldwide as an indoor and outdoor plant.
Wandering Jew is toxic and its sap can cause skin irritation. Keep out of reach of children and pets.

Source:
https://www.houseplant411.com/houseplant/wandering-jew-plant-how-to-grow-care-guide","Light: Bright, indirect light and no direct sun.
Water: Allow the top 2""-3"" of soil to dry out, then water.
Fertilizer: Feed monthly when producing new growth with high-nitrogen, water-soluble houseplant food diluted to 1/2 strength.
Temperature: 60°- 80°F, 15.6°- 26.7°C
Humidity: Average to high humidity. Average humidity is around 40%.
Soil: Use a well-aerated, quick-draining soil. Add peat moss and perlite to heavy and clay-like soil.
Pot: Since the plant is fast-growing, check the root-ball frequently and re-pot when necessary, usually in the spring.
Pruning: Aggressively prune long and leggy stems.
Propagation: Propagate with stem cuttings. Use protective clothing and gloves to avoid skin irritation.
Poisonous Plant Info: Toxic to small children and pets. The sap is caustic and can cause skin irritations or rash.

Source: 
https://www.houseplant411.com/houseplant/wandering-jew-plant-how-to-grow-care-guide"
